Time,Angle
14:06:28,10.3
14:06:29,10.3
14:06:29,10.3
14:06:29,10.3
14:06:29,10.3
14:06:29,10.59
14:06:30,10.3
14:06:30,10.3
14:06:30,10.59
14:06:30,10.59
14:06:30,10.59
14:06:30,10.3
14:06:31,10.59
14:06:31,10.3
14:06:31,10.3
14:06:31,10.3
14:06:31,10.3
14:06:31,10.59
14:06:32,10.59
14:06:32,10.59
14:06:32,10.3
14:06:32,10.59
14:06:32,10.59
14:06:32,10.59
14:06:32,10.59
14:06:33,10.59
14:06:33,10.59
14:06:33,10.59
14:06:33,10.59
14:06:33,10.59
14:06:34,10.59
14:06:34,10.59
14:06:34,10.3
14:06:34,10.59
14:06:34,10.59
14:06:34,10.59
14:06:34,10.59
14:06:35,10.59
14:06:35,10.59
14:06:35,10.88
14:06:35,12.01
14:06:35,12.89
14:06:35,14.33
14:06:36,16.06
14:06:36,17.53
14:06:36,18.4
14:06:36,19.29
14:06:36,20.18
14:06:36,21.34
14:06:37,21.91
14:06:37,21.91
14:06:37,22.21
14:06:37,22.21
14:06:37,22.52
14:06:37,23.08
14:06:38,25.7
14:06:38,28.89
14:06:38,32.33
14:06:38,35.71
14:06:38,38.81
14:06:38,41.03
14:06:39,42.69
14:06:39,43.51
14:06:39,44.33
14:06:39,45.7
14:06:39,47.34
14:06:39,49.24
14:06:40,50.6
14:06:40,51.7
14:06:40,53.05
14:06:40,54.13
14:06:40,54.66
14:06:40,56.02
14:06:41,57.37
14:06:41,59.27
14:06:41,61.43
14:06:41,63.6
14:06:41,65.75
14:06:41,68.21
14:06:41,70.64
14:06:42,72.82
14:06:42,74.74
14:06:42,76.1
14:06:42,77.74
14:06:42,79.1
14:06:42,80.75
14:06:43,82.39
14:06:43,83.76
14:06:43,84.85
14:06:43,85.95
14:06:43,87.04
14:06:43,88.41
14:06:44,90.05
14:06:44,91.4
14:06:44,92.5
14:06:44,93.86
14:06:44,95.21
14:06:44,96.84
14:06:45,97.92
14:06:45,98.19
14:06:45,98.19
14:06:45,97.92
14:06:45,97.92
14:06:45,97.92
14:06:46,98.19
14:06:46,97.92
14:06:46,97.92
14:06:46,97.92
14:06:46,97.92
14:06:46,98.19
14:06:47,97.65
14:06:47,96.3
14:06:47,94.95
14:06:47,94.67
14:06:47,94.4
14:06:47,94.67
14:06:47,94.67
14:06:48,94.4
14:06:48,94.67
14:06:48,94.67
14:06:48,94.4
14:06:48,94.4
14:06:48,94.67
14:06:49,94.67
14:06:49,94.67
14:06:49,94.67
14:06:49,94.67
14:06:49,94.67
14:06:49,94.4
14:06:50,94.67
14:06:50,94.67
14:06:50,94.4
14:06:50,94.4
14:06:50,94.4
14:06:50,94.4
14:06:51,94.4
14:06:51,94.67
14:06:51,94.67
14:06:51,94.67
14:06:51,94.4
14:06:51,94.67
14:06:52,94.67
14:06:52,94.67
14:06:52,94.67
14:06:52,94.67
14:06:52,94.67
14:06:52,94.67
14:06:53,94.4
14:06:53,94.67
14:06:53,94.67
14:06:53,94.67
14:06:53,94.67
14:06:53,94.67
14:06:54,94.67
14:06:54,94.67
14:06:54,93.58
14:06:54,90.59
14:06:54,89.5
14:06:54,89.5
14:06:55,89.5
14:06:55,90.05
14:06:55,90.59
14:06:55,90.86
14:06:55,91.4
14:06:55,91.4
14:06:55,91.4
14:06:56,91.4
14:06:56,91.4
14:06:56,91.4
14:06:56,91.4
14:06:56,91.4
14:06:56,91.4
14:06:57,91.4
14:06:57,91.4
14:06:57,91.4
14:06:57,91.4
14:06:57,91.4
14:06:57,91.4
14:06:58,91.4
14:06:58,91.4
14:06:58,91.4
14:06:58,91.4
14:06:58,91.4
14:06:58,91.4
14:06:59,91.4
14:06:59,91.4
14:06:59,91.4
14:06:59,91.4
14:06:59,91.4
14:07:00,91.4
14:07:00,91.4
14:07:00,91.4
14:07:00,91.4
14:07:00,91.4
14:07:00,91.4
14:07:01,91.4
14:07:01,91.4
14:07:01,91.4
14:07:01,91.4
14:07:01,91.4
